2019-03-22,650.99,NOT FOUND in master list
2019-03-24,451.99,FOUND in master list (row 117)
2019-03-27,431.99,NOT FOUND in master list
2019-03-29,650.99,NOT FOUND in master list
2019-03-31,451.99,FOUND in master list (row 117)
2019-04-03,431.99,NOT FOUND in master list
2019-04-05,540.99,NOT FOUND in master list
2019-04-07,541.99,FOUND in master list (row 118)
2019-04-10,431.99,NOT FOUND in master list
2019-04-14,541.99,FOUND in master list (row 118)
2019-04-17,601.99,FOUND in master list (row 122)
2019-04-24,431.99,NOT FOUND in master list
