2018-10-17,301.99
2018-10-24,301.99
2018-10-31,301.99
2018-10-03,351.99
2018-11-07,381.99
2018-11-28,381.99
2018-07-25,401.99
2018-08-01,401.99
2018-08-08,401.99
2018-09-19,401.99
2018-09-26,401.99
2018-07-27,409.99
2019-02-13,431.99
2019-02-20,431.99
2019-03-13,431.99
2019-03-20,431.99
2019-03-27,431.99
2019-04-03,431.99
2019-04-10,431.99
2019-04-24,431.99
2019-02-10,451.99
2019-02-17,451.99
2019-02-24,451.99
2019-02-27,451.99
2019-03-17,451.99
2019-03-24,451.99
2019-03-31,451.99
2019-04-07,451.99
2019-02-06,481.99
2019-01-23,501.99
2019-01-30,501.99
2019-02-03,501.99
2018-10-07,509.99
2018-10-10,511.99
2018-09-16,519.99
2018-09-21,519.99
2018-09-23,519.99
2018-09-28,519.99
2018-09-30,519.99
2018-10-19,519.99
2018-10-21,519.99
2018-10-26,519.99
2018-06-27,531.99
2018-08-15,531.99
2019-04-05,539.99
2019-04-12,539.99
2019-04-14,541.99
2018-11-21,551.99
2018-12-05,551.99
2018-12-12,551.99
2018-07-20,559.99
2018-07-22,559.99
2018-10-05,559.99
2018-10-12,559.99
2018-10-14,559.99
2018-07-29,569.99
2018-09-14,569.99
2018-10-28,569.99
2018-05-30,581.99
2018-06-06,581.99
2018-06-20,581.99
2018-08-22,581.99
2018-08-29,581.99
2018-09-05,581.99
2018-09-12,581.99
2018-12-07,599.99
2018-12-19,601.99
2019-03-03,601.99
2019-03-06,601.99
2019-03-10,601.99
2019-04-17,601.99
2018-07-08,609.99
2018-07-15,609.99
2018-06-24,619.99
2018-08-03,619.99
2018-08-10,619.99
2018-08-12,619.99
2018-06-13,631.99
2018-12-09,639.99
2018-12-14,639.99
2018-07-18,641.99
2018-07-13,649.99
2018-11-04,649.99
2018-11-11,649.99
2018-11-16,649.99
2018-11-18,649.99
2018-11-23,649.99
2018-11-25,649.99
2018-11-30,649.99
2018-12-02,649.99
2019-02-15,649.99
2019-02-22,649.99
2019-03-15,649.99
2019-03-22,649.99
2019-03-29,649.99
2019-01-16,651.99
2019-01-20,651.99
2019-01-27,651.99
2018-06-29,669.99
2018-12-16,679.99
2018-07-04,691.99
2018-07-11,691.99
2018-08-05,699.99
2018-09-02,699.99
2018-09-09,699.99
2019-01-25,699.99
2019-02-01,699.99
2019-02-08,699.99
2018-11-02,729.99
2018-11-09,729.99
2018-06-17,749.99
2018-06-22,749.99
2018-08-17,749.99
2018-08-19,749.99
2018-08-26,749.99
2019-01-02,751.99
2019-01-09,751.99
2019-01-18,779.99
2018-09-07,799.99
2018-06-10,829.99
2018-07-01,829.99
2018-07-06,829.99
2019-01-11,829.99
2019-01-13,829.99
2018-11-14,831.99
2018-12-28,859.99
2018-06-03,879.99
2018-12-26,881.99
2018-08-24,899.99
2018-08-31,899.99
2018-12-23,909.99
2019-03-01,909.99
2019-03-08,909.99
2018-12-21,959.99
2018-12-30,959.99
2019-01-04,1179.99
2019-01-06,1179.99
